"Name","Number","Version","Owner","Function","Sub-function","Functional organization","Infineon location","Container","Release date","Follow-up date","Document Type","Domain","Reviewed by","Approved by","Language","Legacy document number"
"OJTI for Operating Procedures for Tray Feeder Table. (Skill Level 2)(TWI)","Z8F80945399","A.4","taibenwe","Production","Automation (AUT)","BE","Singapore, Kallang Way","cDtC_BE","2026-06-23T12:48:17+05:30","2028-06-23T12:48:17+05:30","Production: Procedure","Production Document","Hew Pow Teck (BE QM MP SIN QE QT), Ker Derick (BE SIN TM P FT T), Huang Niam Cheong (BE SIN FM ESH)","Foo Say Wee (BE SIN TM AS)","English",""
"OJTI for Line Maintenance for Tray Feeder Table. (Skill Level 4)(TWI)","Z8F80942336","A.3","taibenwe","Production","Automation (AUT)","BE","Singapore, Kallang Way","cDtC_BE","2026-06-24T01:09:21+05:30","2028-06-24T01:09:21+05:30","Production: Procedure","Production Document","Hew Pow Teck (BE QM MP SIN QE QT), Huang Niam Cheong (BE SIN FM ESH), Ker Derick (BE SIN TM P FT T)","Foo Say Wee (BE SIN TM AS)","English",""
"OJTI on Line Maintenance for Strapping Machine. (Skill Level 4)(TWI)","Z8F46859930","F.6","behw","Production","Automation (AUT),Packing","BE","Singapore, Kallang Way","cDtC_BE","2025-02-14T11:00:00+05:30","2028-01-31T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00002389"
"OJTI for Point to Point Transportation at MSP Area. (Skill Level 3)(TWI)","Z8F46861513","A.12","seekuoki","Production","Automation (AUT),Packing","BE","Singapore, Kallang Way","cDtC_BE","2025-06-16T10:00:00+05:30","2028-06-30T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00009689"
"OJTI on Operating Procedures for Automated Material Storage System. (Skill Level 2)(TWI)","Z8F46861300","B.5","behw","Production","Automation (AUT),Packing","BE","Singapore, Kallang Way","cDtC_BE","2024-10-21T10:00:00+05:30","2028-06-07T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00009438"
"OJTI on Operating Procedures for Cooling Rack System. (Skill Level 2)(TWI)","Z8F46861273","A.5","behw","Production","Automation (AUT),Packing","BE","Singapore, Kallang Way","cDtC_BE","2024-08-29T10:00:00+05:30","2027-10-22T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00009410"
"OJTI for AMHS Workflow Instructions at Final Test. (Skill Level 2)(TWI)","Z8F46859893","E.5","seekuoki","Production","Automation (AUT),Testing","BE","Singapore, Kallang Way","cDtC_BE","2024-10-01T10:00:00+05:30","2028-08-10T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00001882"
"OJTI for IBIS Work Flow. (Skill Level 2)(TWI)","Z8F46860106","R.5","aznin","Production","Burn-In,n/a","BE","Singapore, Kallang Way","cDtC_BE","2025-10-27T05:19:15+05:30","2027-10-27T05:19:15+05:30","Production: Procedure","Production Document","Arandia Mark Davis (BE QM MP SIN QE)","Huang Niam Cheong (BE FM SIN ESH),Mohammad Pervez So Mohommad Haron (BE SIN OP E BI),Sim Lee Wee (BE SIN OP P),Myint Tun Linn (BE SIN OP APE UP)","English","A5D00004202"
"OJTI for Calibration of Profile Projector (Skill Level 3)","Z8F46861702","F.1","limsuew","Production","Calibration (CAL)","BE","Singapore, Kallang Way","cDtC_BE","2025-07-23T10:00:00+05:30","2028-03-11T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050820"
"OJTI for Calibration of Caliper and Digimatic Indicator. (Skill Level 3)","Z8F46861698","G.1","limsuew","Production","Calibration (CAL)","BE","Singapore, Kallang Way","cDtC_BE","2025-07-24T10:00:00+05:30","2027-09-30T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050812"
"OJTI for Calibration of Dead Weights. (Skill Level 3)","Z8F46861704","F.4","limsuew","Quality Management","Calibration (CAL)","BE","Singapore, Kallang Way","cDtC_BE","2025-10-10T03:17:57+05:30","2027-10-10T03:18:00+05:30","Production: Procedure","Production Document","Huang Niam Cheong (BE FM SIN ESH)","Tan Choong Kwang Roger (BE QM MP SIN QMS)","English","A5D00050824"
"OJTI for Calibration of Mettler Analytical Balance.(Skill Level 3)","Z8F46861703","F.4","limsuew","Quality Management","Calibration (CAL)","BE","Singapore, Kallang Way","cDtC_BE","2025-10-10T03:19:32+05:30","2027-10-10T03:19:35+05:30","Production: Procedure","Production Document","Huang Niam Cheong (BE FM SIN ESH)","Tan Choong Kwang Roger (BE QM MP SIN QMS)","English","A5D00050823"
"OJTI for Calibration of Weighing Machine. (Skill Level 3)","Z8F46861700","F.2","limsuew","Production","Calibration (CAL)","BE","Singapore, Kallang Way","cDtC_BE","2025-07-16T10:00:00+05:30","2028-03-20T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050817"
"OJTI for Calibration of Micrometer.(Skill Level 3)","Z8F46861699","F.2","limsuew","Production","Calibration (CAL)","BE","Singapore, Kallang Way","cDtC_BE","2025-02-28T11:00:00+05:30","2028-03-17T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050816"
"OJTI for Calibration of Dimension Gauges. (Skill Level 3)","Z8F46861701","F.1","limsuew","Production","Calibration (CAL)","BE","Singapore, Kallang Way","cDtC_BE","2024-10-08T10:00:00+05:30","2028-01-08T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050818"
"OJTI for Calibration of Pure Water Tester, PH Tester & Salinity Tester. (Skill Level 3)","Z8F46859875","E.2","limsuew","Quality Management","Calibration (CAL)","BE","Singapore, Kallang Way","cDtC_BE","2025-10-14T02:20:36+05:30","2027-10-14T02:20:36+05:30","Production: Procedure","Production Document","Huang Niam Cheong (BE FM SIN ESH)","Tan Choong Kwang Roger (BE QM MP SIN QMS)","English","A5D00001658"
"OJTI for Calibration Procedure in SAP. (Skill Level 3)","Z8F46860791","C.8","wongvoonchin","Production","Calibration (CAL)","BE","Singapore, Kallang Way","cDtC_BE","2026-07-10T10:00:45+05:30","2028-07-10T10:00:45+05:30","Production: Procedure","Production Document","Ng Yu Ning Eileen (BE QM MP SIN QMS)","Tan Choong Kwang Roger (BE QM MP SIN QMS)","English","A5D00007963"
"OJTI for Baking of All Packages in Tape/Tube/Tray. (Skill Level 2)(TWI)","Z8F46861663","U.4","mohdsyafiq","Production","Curing / Baking","BE","Singapore, Kallang Way","cDtC_BE","2026-01-08T07:31:26+05:30","2028-01-08T07:31:26+05:30","Production: Procedure","Production Document","Hew Pow Teck (BE QM MP SIN QE QT), Wong Chee Peng (BE SIN OP APE)","Mohd Tahar Yusof (BE SIN OP P BI)","English","A5D00050638"
"OJTI for FA Process Gas System (Skill Level 2)(TWI)","Z8F46861232","A.2","limwe","Production","Failure Analysis (FA)","BE","Singapore, Kallang Way","eQM_Failure_Analysis","2024-07-10T10:00:00+05:30","2028-07-10T10:00:00+05:30","Quality Management: Procedure","Quality Management Document","","","English","A5D00009366"
"OJTI for FA Waste Management System (Skill Level 2)(TWI)","Z8F46861171","B.2","limwe","Production","Failure Analysis (FA)","BE","Singapore, Kallang Way","eQM_Failure_Analysis","2024-07-10T10:00:00+05:30","2028-07-10T10:00:00+05:30","Quality Management: Procedure","Quality Management Document","","","English","A5D00009236"
"OJTI for DAGE 4000 Series Pull Shear Tester.(Skill Level 2)(TWI)","Z8F46861452","B.2","chiay","Production","Failure Analysis (FA)","BE","Singapore, Kallang Way","eQM_Failure_Analysis","2025-07-30T10:00:00+05:30","2028-01-04T11:00:00+05:30","Quality Management: Procedure","Quality Management Document","","","English","A5D00009618"
"OJTI for Dage Series 4000. (Skill Level 2)(TWI)","Z8F46860923","B.2","chiay","Production","Failure Analysis (FA)","BE","Singapore, Kallang Way","eQM_Failure_Analysis","2025-07-26T10:00:00+05:30","2028-06-25T10:00:00+05:30","Quality Management: Procedure","Quality Management Document","","","English","A5D00008501"
"OJTI for Leica M125 Stereoscopic Scope.(Skill Level 2)(TWI)","Z8F46860901","C.2","bongwuanliis","Production","Failure Analysis (FA)","BE","Singapore, Kallang Way","eQM_Failure_Analysis","2024-09-25T10:00:00+05:30","2028-04-14T10:00:00+05:30","Quality Management: Procedure","Quality Management Document","","","English","A5D00008449"
"OJTI for Low Power Optical Scopes used for Inspection only.(Skill Level 2)(TWI)","Z8F46860891","C.2","bongwuanliis","Production","Failure Analysis (FA)","BE","Singapore, Kallang Way","eQM_Failure_Analysis","2023-09-22T10:00:00+05:30","2027-09-22T10:00:00+05:30","Quality Management: Procedure","Quality Management Document","","","English","A5D00008433"
"OJTI for R3T Plasma System (Skill Level 2)(TWI)","Z8F46860913","D.2","limwe","Production","Failure Analysis (FA)","BE","Singapore, Kallang Way","eQM_Failure_Analysis","2024-10-18T10:00:00+05:30","2028-08-08T10:00:00+05:30","Quality Management: Procedure","Quality Management Document","","","English","A5D00008482"
"OJTI for Phoenix X-ray Nanomex 180 2D Inspection Only. (Skill Level 2)(TWI)","Z8F46860895","G.2","dan","Production","Failure Analysis (FA)","BE","Singapore, Kallang Way","eQM_Failure_Analysis","2025-04-02T10:00:00+05:30","2028-05-23T10:00:00+05:30","Quality Management: Procedure","Quality Management Document","","","English","A5D00008442"
"OJTI for Sputter Coater (Emitech K550X) (Skill Level 2)(TWI)","Z8F46860912","B.2","limwe","Production","Failure Analysis (FA)","BE","Singapore, Kallang Way","eQM_Failure_Analysis","2023-09-25T10:00:00+05:30","2027-09-25T10:00:00+05:30","Quality Management: Procedure","Quality Management Document","","","English","A5D00008481"
"OJTI for Hitachi SEM S3400N (Skill Level 2)(TWI)","Z8F46860897","B.2","dan","Production","Failure Analysis (FA)","BE","Singapore, Kallang Way","eQM_Failure_Analysis","2023-08-31T10:00:00+05:30","2027-08-31T10:00:00+05:30","Quality Management: Procedure","Quality Management Document","","","English","A5D00008444"
"OJTI for Wire Saw STX-202A.(Skill level 2)(TWI)","Z8F46860885","B.3","gohhu","Production","Failure Analysis (FA)","BE","Singapore, Kallang Way","eQM_Failure_Analysis","2023-08-23T10:00:00+05:30","2027-08-23T10:00:00+05:30","Quality Management: Procedure","Quality Management Document","","","English","A5D00008414"
"OJTI for Well Precision Wire Saw. (Skill Level 2) (TWI)","Z8F46860886","B.4","gohhu","Production","Failure Analysis (FA)","BE","Singapore, Kallang Way","eQM_Failure_Analysis","2023-09-04T10:00:00+05:30","2027-09-04T10:00:00+05:30","Quality Management: Procedure","Quality Management Document","","","English","A5D00008418"
"OJTI for High Power Optical Scopes used for Inspection only.(Skill Level 2)(TWI)","Z8F46860890","C.2","bongwuanliis","Production","Failure Analysis (FA)","BE","Singapore, Kallang Way","eQM_Failure_Analysis","2023-09-21T10:00:00+05:30","2027-09-21T10:00:00+05:30","Quality Management: Procedure","Quality Management Document","","","English","A5D00008432"
"OJTI for Agilent B1505A Power Device Analyzer/Curve Tracer.(Skill Level 2)(TWI)","Z8F46860854","D.2","zaidiaf","Production","Failure Analysis (FA)","BE","Singapore, Kallang Way","eQM_Failure_Analysis","2025-01-15T11:00:00+05:30","2027-10-25T10:00:00+05:30","Quality Management: Procedure","Quality Management Document","","","English","A5D00008302"
"OJTI for De-processing on Bond Pad Layer by Layer by using Wet Chemistry. (Skill Level 2)(TWI)","Z8F46860933","B.3","delacrug","Production","Failure Analysis (FA)","BE","Singapore, Kallang Way","eQM_Failure_Analysis","2023-10-16T10:00:00+05:30","2027-10-16T10:00:00+05:30","Quality Management: Procedure","Quality Management Document","","","English","A5D00008526"
"OJTI for Flat Milling (Ion Polishing) Using Hitachi Arblade-5000(Skill Level 2)(TWI).","Z8F46861065","A.3","chiay","Production","Failure Analysis (FA)","BE","Singapore, Kallang Way","eQM_Failure_Analysis","2023-05-10T10:00:00+05:30","2027-05-10T10:00:00+05:30","Quality Management: Procedure","Quality Management Document","","","English","A5D00008917"
"OJTI for Inspection Using Axiotron Microscope. (Skill Level 2)(TWI)","Z8F46861105","B.2","chiay","Production","Failure Analysis (FA)","BE","Singapore, Kallang Way","eQM_Failure_Analysis","2025-07-26T10:00:00+05:30","2027-10-01T10:00:00+05:30","Quality Management: Procedure","Quality Management Document","","","English","A5D00008999"
"OJTI for CT100 System used for Silicon remaining Thickness Measurement for Backside Grinding only.(Skill Level 2)(TWI)","Z8F46860899","C.3","gohjiayi","Failure Analysis","Failure Analysis (FA)","FE","Singapore, Kallang Way","eQM_Failure_Analysis","2026-03-17T02:19:34+05:30","2028-03-17T02:19:34+05:30","Quality Management: Procedure","Quality Management Document","Huang Niam Cheong (BE FM SIN ESH)","Yeo Pei Ling (FE CF QM FA BEA SIN 1)","English","A5D00008446"
"OJTI for Carl Zeiss GeminiSEM 360 (Skill Level 2)(TWI)","Z8F46860996","C.3","limwe","Failure Analysis","Failure Analysis (FA)","FE","Singapore, Kallang Way","eQM_Failure_Analysis","2026-05-25T03:24:58+05:30","2028-05-25T03:24:58+05:30","Quality Management: Procedure","Quality Management Document","Huang Niam Cheong (BE SIN FM ESH)","Yeo Pei Ling (FE CF QM FA BEA SIN 1)","English","A5D00008758"
"OJTI for Laser decapper PL201-20 (Skill Level 2)(TWI)","Z8F46861267","B.3","gohjiayi","Failure Analysis","Failure Analysis (FA)","FE CF","Singapore, Kallang Way","eQM_Failure_Analysis","2026-06-26T01:12:06+05:30","2028-06-26T01:12:06+05:30","Quality Management: Procedure","Quality Management Document","Huang Niam Cheong (BE SIN FM ESH)","Yeo Pei Ling (FE CF QM FA BEA SIN 1)","English","A5D00009402"
"OJTI for Laser Decapper PL101i. (Skill Level 2)(TWI)","Z8F46860908","D.4","gohjiayi","Failure Analysis","Failure Analysis (FA)","FE CF","Singapore, Kallang Way","eQM_Failure_Analysis","2026-06-26T02:53:09+05:30","2028-06-26T02:53:09+05:30","Quality Management: Procedure","Quality Management Document","Huang Niam Cheong (BE SIN FM ESH)","Yeo Pei Ling (FE CF QM FA BEA SIN 1)","English","A5D00008474"
"OJTI for Nikon Measuring Scope MM-800 (Skill Level 2)(TWI)","Z8F46861326","B.2","chiay","Production","Failure Analysis (FA)","BE","Singapore, Kallang Way","eQM_Failure_Analysis","2025-07-26T10:00:00+05:30","2027-10-24T10:00:00+05:30","Quality Management: Procedure","Quality Management Document","","","English","A5D00009472"
"OJTI for Leica DM4M Optical Scope.(Skill Level 2)(TWI)","Z8F46861334","A.2","bongwuanliis","Production","Failure Analysis (FA)","BE","Singapore, Kallang Way","eQM_Failure_Analysis","2024-11-01T11:00:00+05:30","2028-05-16T10:00:00+05:30","Quality Management: Procedure","Quality Management Document","","","English","A5D00009480"
"OJTI for Leica DMRME Optical Scope","Z8F46860916","B.2","bongwuanliis","Production","Failure Analysis (FA)","BE","Singapore, Kallang Way","eQM_Failure_Analysis","2023-09-25T10:00:00+05:30","2027-09-25T10:00:00+05:30","Quality Management: Procedure","Quality Management Document","","","English","A5D00008488"
"OJTI for Allied MultiPrep Precision Polisher used for Parallel Lapping. (Skill Level 2)(TWI)","Z8F46860927","C.2","lings","Production","Failure Analysis (FA)","BE","Singapore, Kallang Way","eQM_Failure_Analysis","2023-10-16T10:00:00+05:30","2027-10-16T10:00:00+05:30","Quality Management: Procedure","Quality Management Document","","","English","A5D00008510"
"OJTI for Nikon Eclipse L200N IR Optical Scope.(Skill Level 2)(TWI)","Z8F46860917","C.8","bongwuanliis","Production","Failure Analysis (FA)","BE","Singapore, Kallang Way","eQM_Failure_Analysis","2024-08-05T10:00:00+05:30","2028-06-06T10:00:00+05:30","Quality Management: Procedure","Quality Management Document","","","English","A5D00008489"
"OJTI For Operating Tegramin-25 For Auto Cross Section. (Skill Level 2)(TWI)","Z8F46860894","B.2","gohhu","Production","Failure Analysis (FA)","BE","Singapore, Kallang Way","eQM_Failure_Analysis","2023-09-04T10:00:00+05:30","2027-09-04T10:00:00+05:30","Quality Management: Procedure","Quality Management Document","","","English","A5D00008436"
"OJTI for Hitachi FESEM S-4800 (Skill Level 2)(TWI)","Z8F46860896","B.2","dan","Production","Failure Analysis (FA)","BE","Singapore, Kallang Way","eQM_Failure_Analysis","2023-08-31T10:00:00+05:30","2027-08-31T10:00:00+05:30","Quality Management: Procedure","Quality Management Document","","","English","A5D00008443"
"OJTI for Jiaco-Microwave Induced Plasma (MIP). (Skill Level 2)(TWI)","Z8F46860902","C.2","yangju","Production","Failure Analysis (FA)","BE","Singapore, Kallang Way","eQM_Failure_Analysis","2025-07-31T10:00:00+05:30","2028-04-09T10:00:00+05:30","Quality Management: Procedure","Quality Management Document","","","English","A5D00008452"
"OJTI for Soldering and Desoldering Procedure. (Skill Level 2)(TWI)","Z8F46860906","D.2","sacbayan","Production","Failure Analysis (FA)","BE","Singapore, Kallang Way","eQM_Failure_Analysis","2024-06-04T10:00:00+05:30","2028-06-04T10:00:00+05:30","Quality Management: Procedure","Quality Management Document","","","English","A5D00008464"
"OJTI for Field Emission Scanning Electron Microscope SU8010 (Skill Level 2) (TWI)","Z8F46860911","B.2","limwe","Production","Failure Analysis (FA)","BE","Singapore, Kallang Way","eQM_Failure_Analysis","2023-09-28T10:00:00+05:30","2027-09-28T10:00:00+05:30","Quality Management: Procedure","Quality Management Document","","","English","A5D00008480"
"OJTI for Lock-in Infrared Thermography.(Skill Level 2)(TWI)","Z8F46860884","C.2","ngcheekh","Production","Failure Analysis (FA)","BE","Singapore, Kallang Way","eQM_Failure_Analysis","2024-05-06T10:00:00+05:30","2028-05-06T10:00:00+05:30","Quality Management: Procedure","Quality Management Document","","","English","A5D00008410"
"OJTI for Plastic Mold Decapsulation by Manual Etching (Skill Leve2)(TWI)","Z8F46860887","G.2","delacrug","Production","Failure Analysis (FA)","BE","Singapore, Kallang Way","eQM_Failure_Analysis","2024-09-20T10:00:00+05:30","2027-08-29T10:00:00+05:30","Quality Management: Procedure","Quality Management Document","","","English","A5D00008421"
"OJTI for Operating Gatan PECS1. (Skill Level 2)(TWI)","Z8F46860904","B.4","chiay","Production","Failure Analysis (FA)","BE","Singapore, Kallang Way","eQM_Failure_Analysis","2023-01-06T11:00:00+05:30","2027-01-06T11:00:00+05:30","Quality Management: Procedure","Quality Management Document","","","English","A5D00008459"
"OJTI for Nikon SMZ1500 Stereoscopic scope.(Skill Level 2)(TWI)","Z8F46860893","C.2","bongwuanliis","Production","Failure Analysis (FA)","BE","Singapore, Kallang Way","eQM_Failure_Analysis","2023-09-22T10:00:00+05:30","2027-09-22T10:00:00+05:30","Quality Management: Procedure","Quality Management Document","","","English","A5D00008435"
"OJTI for Kaiser Imaging System.(Skill Level 2)(TWI)","Z8F46860882","B.2","bongwuanliis","Production","Failure Analysis (FA)","BE","Singapore, Kallang Way","eQM_Failure_Analysis","2023-09-21T10:00:00+05:30","2027-09-21T10:00:00+05:30","Quality Management: Procedure","Quality Management Document","","","English","A5D00008392"
"OJTI for Yxlon Cougar X-ray Machine. (Skill Level 2)(TWI)","Z8F46860907","J.2","ramaya","Production","Failure Analysis (FA)","BE","Singapore, Kallang Way","eQM_Failure_Analysis","2025-08-22T10:00:00+05:30","2028-05-04T10:00:00+05:30","Quality Management: Procedure","Quality Management Document","","","English","A5D00008472"
"T32_Cyberscan_CT100_Cybertechnologies","Z8F80196878","B.5","gohjiayi","Failure Analysis","Failure Analysis (FA)","FE CF","Singapore, Kallang Way","eQM_Failure_Analysis","2026-06-02T00:54:57+05:30","","Quality Management: Request","Quality Management Document","Huang Niam Cheong (BE SIN FM ESH)","Yeo Pei Ling (FE CF QM FA BEA SIN 1)","English",""
"OJTI for DAGE 4000 Optima Pull Shear Tester. (Skill Level 2)(TWI)","Z8F46860905","D.5","ongs","Failure Analysis","Failure Analysis (FA)","FE","Singapore, Kallang Way","eQM_Failure_Analysis","2026-06-09T00:27:46+05:30","2028-06-09T00:27:46+05:30","Quality Management: Procedure","Quality Management Document","Yeo Pei Ling (FE CF QM FA BEA SIN 1)","Yeo Pei Ling (FE CF QM FA BEA SIN 1)","English","A5D00008462"
"OJTI for Sonoscan Gen 5, Gen 6 and D9000 (Skill Level 2)(TWI)","Z8F46860892","F.4","bongwuanliis","Failure Analysis","Failure Analysis (FA)","FE","Singapore, Kallang Way","eQM_Failure_Analysis","2026-06-22T00:31:27+05:30","2028-06-22T00:31:27+05:30","Quality Management: Procedure","Quality Management Document","Huang Niam Cheong (BE SIN FM ESH), Yeo Pei Ling (FE CF QM FA BEA SIN 1)","Yeo Pei Ling (FE CF QM FA BEA SIN 1)","English","A5D00008434"
"OJTI for Cross Section. (Skill Level 2)(TWI)","Z8F46860900","C.5","gohhu","Failure Analysis","Failure Analysis (FA)","FE","Singapore, Kallang Way","eQM_Failure_Analysis","2026-06-15T00:13:50+05:30","2028-06-15T00:13:50+05:30","Quality Management: Procedure","Quality Management Document","Huang Niam Cheong (BE SIN FM ESH)","Yeo Pei Ling (FE CF QM FA BEA SIN 1)","English","A5D00008447"
"OJTI for RTI MultiTrace Curve Tracer. (Skill Level 2)(TWI)","Z8F46860856","D.4","hamdamuhamma","Failure Analysis","Failure Analysis (FA)","FE","Singapore, Kallang Way","eQM_Failure_Analysis","2026-06-23T09:25:19+05:30","2028-06-23T09:25:19+05:30","Quality Management: Procedure","Quality Management Document","Huang Niam Cheong (BE SIN FM ESH)","Teh Tict Eng (FE CF QM FA BEA SIN 2)","English","A5D00008307"
"OJTI for QA Submission of Reel, Bag & Box After Taping, Dry Packing and QA Final Clearance. (Skill Level 2)(TWI)","Z8F46861679","AJ.8","book","Production","Packing, Final Clearance","BE","Singapore, Kallang Way","cDtC_BE","2026-07-17T08:58:34+05:30","2028-07-17T08:58:35+05:30","Production: Procedure","Production Document","Goh Teing Tieng (BE QM MP SIN QE), Huang Niam Cheong (BE SIN FM ESH)","Myint Tun Linn (BE SIN TE UP)","English","A5D00050682"
